               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093946,            0.056383,            0.049138,             0.08015,             0.16346,            0.063241,            0.020595,            0.065958,            0.040608,            0.048827,             0.00193,             0.00193,             0.08263
                   1,            0.065016,            0.046746,            0.046124,             0.14565,             0.38453,             0.11871,            0.038131,            0.056836,            0.029221,            0.047703,           0.0038691,           0.0038691,            0.065169
                   2,            0.057057,            0.040034,            0.044699,             0.14736,             0.57894,              0.1804,            0.059245,            0.050243,            0.027109,            0.046196,           0.0058048,           0.0058048,            0.047705
                   3,            0.052816,            0.037603,            0.043372,             0.21068,             0.46972,             0.28536,             0.11862,            0.044244,            0.026024,            0.043749,           0.0077345,           0.0077345,            0.030235
                   4,            0.050872,            0.036378,            0.038534,              0.5176,             0.54626,             0.42058,              0.1886,            0.041825,            0.025779,            0.036908,           0.0096556,           0.0096556,            0.012756
                   5,            0.046161,            0.035355,            0.033246,             0.66421,             0.49845,             0.53599,              0.2421,            0.041133,            0.025753,            0.031538,           0.0099446,           0.0099446,           0.0099446
                   6,            0.043616,            0.034771,            0.026884,             0.69448,             0.66111,             0.60422,             0.25698,            0.041143,            0.024809,            0.022386,           0.0099446,           0.0099446,           0.0099446
                   7,            0.042478,            0.034648,            0.022193,             0.44796,             0.78047,             0.63396,             0.30185,            0.040646,             0.02457,            0.019736,           0.0099203,           0.0099203,           0.0099203
                   8,             0.04015,            0.033687,            0.020986,             0.48152,             0.79064,             0.66815,             0.31627,            0.039926,            0.024124,            0.018347,           0.0098916,           0.0098916,           0.0098916
                   9,            0.040068,            0.033306,            0.019402,             0.58167,             0.73465,              0.7057,             0.34051,            0.038849,            0.024409,            0.017531,           0.0098586,           0.0098586,           0.0098586
                  10,            0.038799,            0.033796,            0.017585,             0.58482,              0.7708,             0.73032,             0.35355,            0.038078,            0.024114,            0.016679,           0.0098213,           0.0098213,           0.0098213
                  11,            0.038386,            0.033807,            0.016987,             0.68589,             0.74761,              0.7301,             0.35615,            0.038177,            0.023754,            0.015968,           0.0097798,           0.0097798,           0.0097798
                  12,            0.037966,            0.032324,            0.016704,             0.67312,             0.74114,             0.73077,             0.37322,            0.037773,            0.023486,            0.014148,            0.009734,            0.009734,            0.009734
                  13,            0.037839,            0.033191,            0.014874,             0.72532,             0.77124,             0.75307,             0.37564,            0.037262,             0.02388,            0.013726,            0.009684,            0.009684,            0.009684
                  14,            0.036476,             0.03224,            0.013699,             0.72308,             0.71876,             0.73473,             0.37159,            0.037502,            0.024328,            0.015568,           0.0096299,           0.0096299,           0.0096299
                  15,            0.036905,             0.03245,            0.013589,             0.72037,             0.73131,             0.73974,             0.37558,            0.035806,            0.023738,            0.014499,           0.0095717,           0.0095717,           0.0095717
                  16,            0.036337,            0.031159,            0.012926,             0.72428,             0.76096,              0.7496,              0.3739,            0.036604,            0.023018,            0.013613,           0.0095095,           0.0095095,           0.0095095
                  17,            0.036097,            0.031666,            0.012724,             0.70378,             0.74757,             0.73937,             0.36892,             0.03633,            0.023937,            0.014763,           0.0094434,           0.0094434,           0.0094434
                  18,            0.035483,            0.031776,            0.011807,             0.73183,             0.73937,             0.74423,             0.36973,            0.037589,            0.024188,            0.013209,           0.0093733,           0.0093733,           0.0093733
                  19,            0.035927,            0.031421,            0.011816,             0.78372,             0.69524,             0.75252,             0.37955,            0.035918,            0.023347,            0.014446,           0.0092995,           0.0092995,           0.0092995
                  20,            0.035155,            0.031644,              0.0112,             0.71762,             0.75235,             0.74893,             0.37648,            0.036387,            0.024177,            0.014039,           0.0092219,           0.0092219,           0.0092219
                  21,            0.035475,            0.031764,            0.010704,             0.69573,             0.78657,             0.74421,              0.3879,            0.036507,            0.023522,            0.015243,           0.0091406,           0.0091406,           0.0091406
                  22,            0.034259,            0.031025,            0.010584,             0.72385,             0.75129,             0.74105,             0.39076,            0.037256,            0.024093,            0.013895,           0.0090557,           0.0090557,           0.0090557
                  23,            0.034596,            0.031114,            0.010066,             0.71037,             0.74117,             0.72645,             0.38204,            0.036773,            0.024026,            0.015271,           0.0089673,           0.0089673,           0.0089673
                  24,            0.034189,            0.030587,            0.010058,             0.77198,              0.7392,             0.75973,             0.40528,            0.036883,            0.023818,            0.013522,           0.0088755,           0.0088755,           0.0088755
                  25,            0.033956,            0.029352,           0.0093413,             0.71601,             0.72441,             0.73866,             0.38362,             0.03573,            0.023808,             0.01604,           0.0087804,           0.0087804,           0.0087804
                  26,            0.033806,            0.030707,           0.0095796,             0.75964,             0.74572,             0.75149,             0.39545,            0.035766,            0.023124,            0.013507,            0.008682,            0.008682,            0.008682
                  27,            0.033626,            0.029187,           0.0090204,             0.73084,             0.75747,             0.76733,             0.40225,            0.036286,            0.023941,            0.013431,           0.0085805,           0.0085805,           0.0085805
                  28,            0.033639,            0.029963,           0.0090786,             0.76052,                0.76,             0.78604,             0.41387,            0.035569,            0.023512,            0.011917,           0.0084759,           0.0084759,           0.0084759
                  29,            0.033508,            0.030119,           0.0088191,             0.76267,             0.75126,             0.75927,             0.40223,            0.035341,            0.024158,            0.013933,           0.0083684,           0.0083684,           0.0083684
                  30,            0.033509,            0.030313,           0.0091643,             0.75986,             0.73928,             0.75984,             0.39212,            0.036202,            0.023795,            0.013826,           0.0082581,           0.0082581,           0.0082581
                  31,            0.033624,            0.030416,           0.0084198,             0.76003,             0.72376,             0.76446,             0.39977,            0.035723,            0.023379,            0.013712,            0.008145,            0.008145,            0.008145
                  32,            0.032652,             0.03001,           0.0081053,             0.72397,             0.73561,             0.73852,             0.39222,            0.034994,            0.023332,            0.015234,           0.0080294,           0.0080294,           0.0080294
                  33,            0.032439,            0.029479,           0.0082632,             0.72447,             0.74574,             0.75243,             0.40062,            0.034967,             0.02376,            0.014417,           0.0079112,           0.0079112,           0.0079112
                  34,            0.032565,            0.029469,            0.008253,             0.70842,             0.73062,             0.71154,             0.37591,            0.034546,            0.024264,            0.016888,           0.0077907,           0.0077907,           0.0077907
                  35,            0.032291,             0.02872,           0.0077452,             0.76262,             0.75201,             0.77999,             0.40749,            0.035836,            0.023605,            0.014319,           0.0076679,           0.0076679,           0.0076679
                  36,            0.032165,            0.029075,           0.0075987,             0.73257,             0.75073,             0.74759,             0.40076,             0.03546,            0.024104,            0.014826,            0.007543,            0.007543,            0.007543
                  37,            0.031976,            0.028189,           0.0071967,             0.71325,             0.75104,             0.75712,             0.41034,            0.035842,            0.023656,            0.016231,            0.007416,            0.007416,            0.007416
                  38,            0.031848,            0.029672,           0.0071967,              0.7064,             0.78784,             0.76182,              0.4045,            0.035278,             0.02367,            0.014011,           0.0072872,           0.0072872,           0.0072872
                  39,            0.031615,            0.029157,           0.0069901,             0.72166,             0.76698,             0.75711,             0.39002,            0.036445,            0.023753,            0.014908,           0.0071566,           0.0071566,           0.0071566
                  40,            0.031688,            0.028323,           0.0065172,             0.75133,              0.7585,             0.75287,             0.39842,            0.035447,            0.023941,            0.013856,           0.0070243,           0.0070243,           0.0070243
                  41,            0.031494,            0.028427,           0.0068856,             0.74439,             0.77977,             0.76283,              0.4023,            0.035878,            0.024075,            0.015067,           0.0068906,           0.0068906,           0.0068906
                  42,            0.031586,             0.02882,           0.0063981,             0.75457,             0.76107,             0.76514,             0.40364,            0.035806,            0.023901,              0.0132,           0.0067555,           0.0067555,           0.0067555
                  43,            0.031146,            0.028137,           0.0069893,             0.75697,             0.77097,             0.76755,             0.40434,            0.035091,            0.023986,            0.015305,           0.0066191,           0.0066191,           0.0066191
                  44,            0.031038,            0.028129,           0.0066218,             0.72936,             0.79738,             0.75373,             0.39954,            0.035136,            0.024668,            0.015415,           0.0064816,           0.0064816,           0.0064816
                  45,            0.030892,            0.027788,           0.0063648,             0.75539,             0.74279,             0.75782,             0.41149,            0.033962,            0.023534,            0.015276,           0.0063432,           0.0063432,           0.0063432
                  46,            0.030867,            0.028806,             0.00589,              0.7627,             0.74776,             0.76598,             0.41245,             0.03439,            0.024212,            0.014053,            0.006204,            0.006204,            0.006204
                  47,            0.030584,            0.028038,           0.0059497,              0.7518,             0.78575,             0.77475,              0.4177,            0.034842,            0.023365,               0.014,            0.006064,            0.006064,            0.006064
                  48,            0.030502,            0.028799,           0.0056864,             0.76585,             0.73772,             0.75995,              0.4152,            0.035229,            0.023604,            0.015999,           0.0059235,           0.0059235,           0.0059235
                  49,            0.030226,            0.027256,           0.0055769,             0.73442,             0.75512,             0.75666,             0.40435,            0.035061,            0.023584,            0.016173,           0.0057826,           0.0057826,           0.0057826
                  50,            0.030046,            0.027977,           0.0051404,             0.73217,             0.79963,             0.77301,             0.41331,            0.035347,             0.02397,            0.014164,           0.0056413,           0.0056413,           0.0056413
                  51,            0.030003,            0.027736,           0.0053057,             0.74278,              0.7474,             0.76015,              0.4016,            0.035011,            0.024676,            0.015484,              0.0055,              0.0055,              0.0055
                  52,            0.029917,            0.027498,           0.0055653,             0.71878,             0.80801,             0.77441,             0.41928,            0.035142,            0.023681,            0.013809,           0.0053587,           0.0053587,           0.0053587
                  53,            0.029534,            0.027759,           0.0048068,             0.75427,             0.76672,             0.74947,             0.40554,            0.034541,            0.024587,            0.015187,           0.0052174,           0.0052174,           0.0052174
                  54,            0.029209,            0.027123,           0.0045695,             0.73596,             0.79155,              0.7664,             0.41608,            0.034167,            0.024454,            0.014616,           0.0050765,           0.0050765,           0.0050765
                  55,            0.029625,             0.02729,           0.0053427,             0.71867,             0.80795,             0.77347,             0.41506,            0.034699,            0.024027,             0.01483,            0.004936,            0.004936,            0.004936
                  56,            0.029598,            0.027895,           0.0045806,             0.75039,             0.79384,             0.77438,             0.42447,            0.034364,            0.023811,            0.014872,            0.004796,            0.004796,            0.004796
                  57,            0.028763,            0.027086,            0.004725,             0.76953,             0.74685,             0.77134,             0.41479,              0.0343,            0.024248,            0.014534,           0.0046568,           0.0046568,           0.0046568
                  58,             0.02876,            0.027337,           0.0046287,             0.73071,             0.75073,             0.76458,             0.41382,             0.03479,            0.024419,            0.015521,           0.0045184,           0.0045184,           0.0045184
                  59,            0.028952,            0.026217,           0.0044322,             0.71914,             0.80266,             0.76083,             0.41105,            0.035581,            0.024346,             0.01601,           0.0043809,           0.0043809,           0.0043809
                  60,             0.02876,             0.02734,           0.0044106,             0.70908,             0.78562,                0.75,             0.40277,            0.035538,            0.024239,            0.017483,           0.0042445,           0.0042445,           0.0042445
                  61,            0.028679,            0.026305,           0.0040656,               0.751,             0.77076,             0.75896,             0.40821,            0.035091,            0.024563,            0.016288,           0.0041094,           0.0041094,           0.0041094
                  62,            0.028499,            0.026044,           0.0044816,             0.76255,             0.76298,             0.75031,             0.40197,            0.034934,            0.024155,            0.016136,           0.0039757,           0.0039757,           0.0039757
                  63,            0.028196,            0.026361,           0.0042011,             0.73828,             0.76722,             0.74778,             0.40737,            0.034861,            0.024543,            0.015705,           0.0038434,           0.0038434,           0.0038434
                  64,            0.028331,            0.025924,           0.0039082,             0.76718,             0.76983,             0.76926,             0.41533,            0.035265,            0.024342,            0.014971,           0.0037128,           0.0037128,           0.0037128
                  65,            0.027907,            0.025403,           0.0040015,             0.75125,             0.76094,              0.7561,             0.41367,            0.034424,            0.024664,            0.016151,            0.003584,            0.003584,            0.003584
                  66,            0.027892,            0.026276,           0.0037988,             0.71403,             0.78703,             0.76124,             0.41761,            0.035229,             0.02467,             0.01626,            0.003457,            0.003457,            0.003457
                  67,            0.027698,            0.025641,           0.0038238,              0.7981,              0.7362,             0.75985,             0.41024,            0.035054,            0.024408,            0.016186,           0.0033321,           0.0033321,           0.0033321
                  68,            0.027337,            0.025618,           0.0035383,             0.75898,             0.77187,             0.75505,             0.40905,            0.035559,            0.024574,             0.01578,           0.0032093,           0.0032093,           0.0032093
                  69,            0.027265,            0.025189,           0.0037652,              0.7708,             0.76538,             0.75693,              0.4133,            0.034879,            0.024744,            0.015631,           0.0030888,           0.0030888,           0.0030888
                  70,            0.027117,            0.025338,            0.003598,             0.74397,             0.74412,             0.75088,             0.41805,            0.034313,            0.024903,            0.015817,           0.0029706,           0.0029706,           0.0029706
                  71,            0.026759,            0.025006,           0.0035276,             0.72046,              0.7772,             0.75769,             0.41478,            0.034523,            0.024624,             0.01613,            0.002855,            0.002855,            0.002855
                  72,            0.027035,            0.025569,           0.0032902,             0.76472,             0.75808,             0.76137,             0.41797,            0.034827,            0.024847,            0.016331,           0.0027419,           0.0027419,           0.0027419
                  73,            0.027132,            0.025207,           0.0034529,             0.72984,             0.80166,             0.76547,             0.41628,            0.034924,            0.024841,             0.01638,           0.0026316,           0.0026316,           0.0026316
                  74,            0.026907,            0.024862,           0.0033587,             0.76993,             0.76502,              0.7513,             0.40746,            0.034553,            0.025066,            0.016975,           0.0025241,           0.0025241,           0.0025241
                  75,            0.026834,            0.026372,           0.0032906,             0.81558,             0.70011,             0.76179,             0.41184,            0.034347,            0.025549,            0.016068,           0.0024195,           0.0024195,           0.0024195
                  76,            0.026516,            0.025215,            0.003257,             0.75703,             0.76462,             0.76458,             0.40648,             0.03496,            0.025949,             0.01761,            0.002318,            0.002318,            0.002318
                  77,            0.026739,            0.025665,           0.0035008,             0.77361,              0.7681,             0.75625,             0.40986,             0.03534,            0.025079,             0.01661,           0.0022196,           0.0022196,           0.0022196
                  78,            0.026231,            0.025595,           0.0034287,              0.7527,             0.77102,             0.75932,             0.41082,            0.034927,            0.025532,            0.016605,           0.0021245,           0.0021245,           0.0021245
                  79,            0.026119,            0.024094,           0.0033773,             0.71743,             0.79799,             0.74936,             0.41014,            0.034928,            0.025738,            0.016091,           0.0020327,           0.0020327,           0.0020327
                  80,            0.026241,            0.025056,           0.0031804,             0.77601,             0.74981,              0.7597,             0.41587,             0.03484,            0.025336,            0.016989,           0.0019443,           0.0019443,           0.0019443
                  81,            0.025925,              0.0247,           0.0031546,             0.74857,             0.76751,             0.75298,             0.40806,            0.034721,            0.025728,             0.01672,           0.0018594,           0.0018594,           0.0018594
                  82,            0.026088,            0.025236,           0.0030191,             0.77677,             0.73809,             0.74726,             0.40878,            0.034408,            0.025441,            0.016315,           0.0017781,           0.0017781,           0.0017781
                  83,            0.025711,            0.024513,           0.0028731,             0.77307,             0.74085,             0.75018,             0.40426,            0.034588,            0.025612,             0.01762,           0.0017005,           0.0017005,           0.0017005
