               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030044,             0.02812,           0.0057493,              0.7387,             0.75961,             0.76151,             0.41044,            0.034244,            0.023028,            0.016647,            0.002855,            0.002855,            0.002855
                  37,            0.029897,            0.027708,           0.0060066,             0.72145,             0.78318,             0.77179,               0.407,            0.034786,            0.023013,             0.01662,           0.0026316,           0.0026316,           0.0026316
                  38,            0.029883,            0.028468,           0.0057655,             0.71655,             0.79946,             0.76673,             0.41114,            0.035071,            0.022829,            0.014809,           0.0024195,           0.0024195,           0.0024195
                  39,            0.029636,            0.027665,           0.0057187,             0.74347,             0.75604,             0.75385,             0.39701,             0.03527,            0.022781,            0.016967,           0.0022196,           0.0022196,           0.0022196
                  40,            0.029305,             0.02731,            0.005512,             0.75552,             0.74743,             0.76306,             0.40701,            0.034963,             0.02299,            0.016631,           0.0020327,           0.0020327,           0.0020327
                  41,            0.029232,            0.026972,           0.0054712,             0.76731,             0.72826,             0.75584,             0.40579,            0.034885,               0.023,             0.01644,           0.0018594,           0.0018594,           0.0018594
                  42,             0.02922,            0.027479,           0.0051298,             0.71771,             0.79208,             0.75101,             0.40318,            0.034748,             0.02297,            0.017022,           0.0017005,           0.0017005,           0.0017005
                  43,            0.028789,            0.027146,           0.0052651,             0.76065,             0.76165,             0.76375,             0.40605,            0.034709,            0.022938,            0.016129,           0.0015566,           0.0015566,           0.0015566
                  44,            0.028859,             0.02682,           0.0047324,             0.77106,             0.75088,             0.77307,             0.41743,             0.03464,             0.02296,            0.016186,           0.0014283,           0.0014283,           0.0014283
                  45,            0.028568,            0.026757,           0.0045509,             0.71225,              0.8208,             0.77414,              0.4187,            0.034592,            0.022758,            0.015665,            0.001316,            0.001316,            0.001316
                  46,            0.028689,            0.027164,           0.0049858,             0.77675,             0.76003,             0.77581,             0.41593,            0.034914,            0.022798,            0.016046,           0.0012202,           0.0012202,           0.0012202
                  47,            0.028797,            0.026686,            0.004985,             0.70453,             0.80783,             0.76108,             0.40906,            0.035113,            0.023114,            0.015766,           0.0011414,           0.0011414,           0.0011414
                  48,             0.02866,            0.027224,           0.0048257,              0.7501,             0.77456,             0.76372,             0.41428,            0.034703,            0.022798,            0.016931,           0.0010797,           0.0010797,           0.0010797
                  49,            0.028434,            0.027233,           0.0042734,             0.75053,             0.76361,             0.76181,             0.41573,            0.034958,            0.022896,             0.01736,           0.0010355,           0.0010355,           0.0010355
