               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036635,            0.028636,            0.014947,             0.74442,             0.61909,             0.70824,             0.32994,            0.032154,            0.022346,            0.022208,           0.0097011,           0.0097011,           0.0097011
                  37,            0.037393,            0.026761,            0.014031,             0.74293,             0.74462,             0.75624,             0.36384,            0.032659,            0.021672,            0.018251,            0.009684,            0.009684,            0.009684
                  38,            0.036768,            0.027944,            0.012234,             0.68867,             0.64983,             0.67521,             0.33605,            0.031143,            0.021024,            0.022094,           0.0096664,           0.0096664,           0.0096664
                  39,            0.036503,             0.02802,            0.013162,             0.78473,             0.73466,             0.76414,             0.37194,            0.031537,            0.021178,            0.014875,           0.0096484,           0.0096484,           0.0096484
                  40,            0.036263,            0.027233,            0.012052,             0.83507,             0.69669,             0.76709,              0.3647,            0.032867,            0.021172,            0.016058,           0.0096299,           0.0096299,           0.0096299
                  41,             0.03735,            0.028225,            0.012508,              0.8067,             0.63393,             0.71507,             0.34096,            0.031878,             0.02183,            0.018517,            0.009611,            0.009611,            0.009611
                  42,            0.036074,            0.026903,            0.011456,             0.78483,             0.67104,             0.73568,             0.36179,            0.030793,            0.021482,            0.020067,           0.0095916,           0.0095916,           0.0095916
                  43,            0.036312,            0.027312,            0.011785,             0.72229,             0.74932,             0.74671,             0.36266,            0.032324,            0.021553,            0.017046,           0.0095717,           0.0095717,           0.0095717
                  44,            0.035442,            0.028006,            0.011074,              0.7567,             0.72437,             0.74585,             0.37052,            0.033273,            0.021299,            0.014861,           0.0095514,           0.0095514,           0.0095514
                  45,            0.035788,            0.027233,            0.010845,             0.81721,             0.73832,             0.80532,             0.37443,            0.031898,            0.021388,            0.016252,           0.0095307,           0.0095307,           0.0095307
                  46,            0.035398,            0.027701,            0.010766,             0.77752,             0.72004,             0.77826,             0.38164,            0.031462,            0.021279,              0.0175,           0.0095095,           0.0095095,           0.0095095
                  47,            0.034889,            0.026907,            0.011319,             0.69671,             0.77286,              0.7686,              0.3745,            0.032621,            0.021428,            0.015795,           0.0094879,           0.0094879,           0.0094879
                  48,             0.03482,            0.027074,             0.01055,             0.74556,             0.71357,             0.77389,             0.39177,            0.031366,            0.022202,            0.014748,           0.0094659,           0.0094659,           0.0094659
                  49,            0.035307,            0.027285,            0.010044,             0.73389,             0.69741,             0.73088,             0.35393,            0.032914,            0.022315,            0.017817,           0.0094434,           0.0094434,           0.0094434
                  50,             0.03543,            0.027553,             0.01007,             0.79317,             0.69264,             0.77797,             0.38849,            0.031547,            0.022011,            0.018601,           0.0094205,           0.0094205,           0.0094205
                  51,             0.03496,            0.027967,           0.0095582,             0.83358,             0.69577,             0.75639,             0.38777,            0.033347,            0.021455,            0.014372,           0.0093971,           0.0093971,           0.0093971
                  52,            0.035697,            0.027539,            0.010253,             0.85292,              0.7152,             0.80972,             0.38705,            0.032234,            0.021366,            0.014649,           0.0093733,           0.0093733,           0.0093733
                  53,            0.034511,             0.02674,            0.009433,             0.81363,             0.75028,             0.82881,             0.40364,            0.030661,            0.021454,            0.012776,           0.0093491,           0.0093491,           0.0093491
                  54,            0.035537,            0.027492,           0.0087407,             0.81568,             0.70541,             0.78823,             0.37494,            0.032502,             0.02137,            0.015195,           0.0093245,           0.0093245,           0.0093245
                  55,            0.035759,            0.026913,           0.0093105,             0.82315,             0.71433,             0.79734,             0.38988,            0.030567,            0.021818,            0.016825,           0.0092995,           0.0092995,           0.0092995
                  56,            0.033446,            0.026494,           0.0084544,             0.75498,             0.78668,               0.794,             0.39625,             0.03105,            0.022208,            0.016423,            0.009274,            0.009274,            0.009274
                  57,            0.033678,            0.026864,           0.0081866,             0.74451,               0.683,             0.74062,             0.35745,            0.031761,            0.021882,            0.016393,           0.0092481,           0.0092481,           0.0092481
                  58,            0.033547,            0.027654,           0.0089646,              0.8018,             0.70044,             0.76609,             0.36751,            0.032197,            0.021495,             0.01578,           0.0092219,           0.0092219,           0.0092219
